,ID.PLOT,ID.LUS,BIO4,X80.LandUse,X82.Designation,X83.LandTenure,X85.FireOccurrence,X86c.FireAreaM2,X87.FireType,X88.ExpectedFutureTrees,X92.TreeCanopyCoverage,N0,H,Simp,N1,N2,E1,E2,tprec,a.tmin,a.tmax,a.tmean,alt,Pop.pa,HHpop,Province,GEZ,pop.d,S.DistToRoad,Expo,Slope,RELIEF,TEXTURE,DRAINAGE,SOM,FOREST
154,2010311,201031102,0,400020,99,1,3,600,2,2,0,0,0,0,0,0,0,0,1436,14.79166667,26.93333333,20.84166667,1269,1,525,Northern,Tropical moist deciduous forest,7709.626465,1307.410394,270,1,1,5,3,2,0
155,2010311,201031103,0,313000,99,1,3,600,2,2,0,0,0,0,0,0,0,0,1436,14.79166667,26.93333333,20.84166667,1269,1,525,Northern,Tropical moist deciduous forest,7709.626465,1307.410394,270,1,1,5,3,2,0
156,2010311,201031101,0,313000,99,1,3,3800,2,2,0,0,0,0,0,0,0,0,1436,14.79166667,26.93333333,20.84166667,1269,1,525,Northern,Tropical moist deciduous forest,7709.626465,1307.410394,270,1,1,5,3,2,0
157,2010312,201031202,0,324000,90,1,3,900,2,2,0,0,0,0,0,0,0,0,1436,14.79166667,26.93333333,20.84166667,1269,1,525,Northern,Tropical moist deciduous forest,7709.626465,1307.410394,235,1,1,5,1,2,0
158,2010312,201031201,0,321000,90,1,3,2100,2,2,0,0,0,0,0,0,0,0,1436,14.79166667,26.93333333,20.84166667,1269,1,525,Northern,Tropical moist deciduous forest,7709.626465,1307.410394,235,1,1,5,1,2,0
159,2010313,201031301,1.097941056,313000,90,1,3,5000,2,2,1,2,0.693147181,0.5,2,2,1,1,1436,14.79166667,26.93333333,20.84166667,1269,1,525,Northern,Tropical moist deciduous forest,7709.626465,1307.410394,360,2,1,5,1,2,0
160,2010314,201031401,4.276982911,110030,90,1,3,2260,2,2,3,4,1.33217904,0.72,3.789291416,3.571428571,0.947322854,0.892857143,1436,14.79166667,26.93333333,20.84166667,1269,1,525,Northern,Tropical moist deciduous forest,7709.626465,1307.410394,270,2,1,5,1,2,0
161,2010314,201031402,0.652392023,313000,90,90,3,2740,2,3,0,1,0,0,1,1,1,1,1436,14.79166667,26.93333333,20.84166667,1269,1,525,Northern,Tropical moist deciduous forest,7709.626465,1307.410394,270,2,1,5,1,2,0
165,2010324,201032403,0,110030,6,1,3,202,2,2,3,0,0,0,0,0,0,0,1388,14.65833333,26.99166667,20.8,1270,1,438,Northern,Tropical moist deciduous forest,24360.79102,151.2877393,290,1,1,3,1,1,0
166,2010324,201032402,0,321000,90,1,3,760,2,2,0,0,0,0,0,0,0,0,1388,14.65833333,26.99166667,20.8,1270,1,438,Northern,Tropical moist deciduous forest,24360.79102,151.2877393,290,1,1,3,1,1,0
167,2010324,201032401,19.51081798,110030,6,1,3,2220,2,2,3,9,2.061112833,0.853333333,7.854705921,6.818181818,0.872745102,0.757575758,1388,14.65833333,26.99166667,20.8,1270,1,438,Northern,Tropical moist deciduous forest,24360.79102,151.2877393,290,1,1,3,1,1,0
172,2010341,201034102,0,321000,90,6,1,0,0,NA,0,0,0,0,0,0,0,0,1217,14.575,27.2,20.85833333,1214,0,0,Northern,Tropical moist deciduous forest,19060.15625,11915.96315,240,1,1,2,0,1,0
173,2010341,201034101,21.93932275,324000,90,6,2,2100,2,2,1,5,1.326920194,0.686390533,3.769416421,3.188679245,0.753883284,0.637735849,1217,14.575,27.2,20.85833333,1214,0,0,Northern,Tropical moist deciduous forest,19060.15625,11915.96315,240,1,1,2,0,1,0
174,2010341,201034103,0,324000,90,6,2,1780,2,2,1,0,0,0,0,0,0,0,1217,14.575,27.2,20.85833333,1214,0,0,Northern,Tropical moist deciduous forest,19060.15625,11915.96315,240,1,1,2,0,1,0
175,2010342,201034201,17.62387304,324000,90,6,2,5000,2,2,1,9,2.079441542,0.859375,8,7.111111111,0.888888889,0.790123457,1217,14.575,27.2,20.85833333,1214,0,0,Northern,Tropical moist deciduous forest,19060.15625,11915.96315,110,1,1,2,0,1,0
176,2010343,201034301,10.09768839,324000,90,6,2,5000,2,2,1,5,1.452044073,0.740484429,4.271837545,3.853333333,0.854367509,0.770666667,1217,14.575,27.2,20.85833333,1214,0,0,Northern,Tropical moist deciduous forest,19060.15625,11915.96315,40,1,1,2,0,1,0
177,2010344,201034401,12.2827163,324000,90,6,2,5000,2,2,1,8,1.979204517,0.847222222,7.2369838,6.545454545,0.904622975,0.818181818,1217,14.575,27.2,20.85833333,1214,0,0,Northern,Tropical moist deciduous forest,19060.15625,11915.96315,310,1,1,2,0,0,0
178,2010351,201035101,3.104230305,321000,7,6,2,5000,2,2,1,5,1.475076311,0.734693878,4.371369344,3.769230769,0.874273869,0.753846154,1120,14.99166667,27.125,21.03333333,1202,0,0,Northern,Tropical moist deciduous forest,8635.475586,3910.30957,2,NA,3,5,1,2,0
179,2010352,201035201,1.427923514,321000,7,6,2,5000,2,2,1,4,1.33217904,0.72,3.789291416,3.571428571,0.947322854,0.892857143,1120,14.99166667,27.125,21.03333333,1202,0,0,Northern,Tropical moist deciduous forest,8635.475586,3910.30957,301,1,3,5,1,2,0
180,2010353,201035301,1.423996498,321000,7,6,2,5000,2,2,1,4,1.268094259,0.684444444,3.554072961,3.169014085,0.88851824,0.792253521,1120,14.99166667,27.125,21.03333333,1202,0,0,Northern,Tropical moist deciduous forest,8635.475586,3910.30957,310,2,3,5,1,2,0
181,2010354,201035401,2.182425775,321000,7,6,2,5000,2,2,1,3,0.73562194,0.40625,2.08677944,1.684210526,0.695593147,0.561403509,1120,14.99166667,27.125,21.03333333,1202,0,0,Northern,Tropical moist deciduous forest,8635.475586,3910.30957,300,1,3,5,1,2,0
183,2010372,201037202,21.27491733,110020,90,6,2,4100,2,1,3,4,1.329661349,0.722222222,3.77976315,3.6,0.944940787,0.9,939,18.25833333,28.95833333,23.58333333,783,1,NA,Eastern,Tropical dry forest,5315.26709,7972.050675,240,10,4,5,2,1,0
184,2010372,201037201,5.253520188,321000,7,1,1,0,0,2,0,2,0.693147181,0.5,2,2,1,1,939,18.25833333,28.95833333,23.58333333,783,1,NA,Eastern,Tropical dry forest,5315.26709,7972.050675,240,10,4,5,2,1,0
187,2010381,201038101,8.533419855,324000,90,6,2,1400,2,2,1,3,1.078992208,0.653061224,2.941713421,2.882352941,0.98057114,0.960784314,1010,15.125,25.95,20.50833333,1297,1,0,Northern,Tropical mountain system,12203.01758,6822.457886,160,1,1,3,0,1,0
188,2010381,201038102,0,321000,90,6,1,0,0,NA,0,0,0,0,0,0,0,0,1010,15.125,25.95,20.50833333,1297,1,0,Northern,Tropical mountain system,12203.01758,6822.457886,160,1,1,3,0,1,0
189,2010382,201038201,8.186648944,324000,90,6,2,4780,2,2,1,5,1.326920194,0.686390533,3.769416421,3.188679245,0.753883284,0.637735849,1010,15.125,25.95,20.50833333,1297,1,0,Northern,Tropical mountain system,12203.01758,6822.457886,170,3,3,3,0,1,0
190,2010382,201038202,0,321000,90,6,1,0,0,NA,0,0,0,0,0,0,0,0,1010,15.125,25.95,20.50833333,1297,1,0,Northern,Tropical mountain system,12203.01758,6822.457886,170,3,3,3,0,1,0
191,2010383,201038301,6.484700015,321000,90,6,1,0,0,NA,0,1,0,0,1,1,1,1,1010,15.125,25.95,20.50833333,1297,1,0,Northern,Tropical mountain system,12203.01758,6822.457886,130,1,2,3,0,0,0
192,2010383,201038303,0,321000,90,6,1,0,0,NA,0,0,0,0,0,0,0,0,1010,15.125,25.95,20.50833333,1297,1,0,Northern,Tropical mountain system,12203.01758,6822.457886,130,1,2,3,0,0,0
193,2010383,201038304,0.569383789,324000,90,6,2,NA,2,2,1,3,1.098612289,0.666666667,3,3,1,1,1010,15.125,25.95,20.50833333,1297,1,0,Northern,Tropical mountain system,12203.01758,6822.457886,130,1,2,3,0,0,0
194,2010383,201038302,5.856625783,324000,90,6,2,1400,2,2,1,3,1.039720771,0.625,2.828427125,2.666666667,0.942809042,0.888888889,1010,15.125,25.95,20.50833333,1297,1,0,Northern,Tropical mountain system,12203.01758,6822.457886,130,1,2,3,0,0,0
195,2010384,201038401,3.935349043,324000,90,6,2,5000,2,2,1,5,1.424129917,0.722222222,4.154241736,3.6,0.830848347,0.72,1010,15.125,25.95,20.50833333,1297,1,0,Northern,Tropical mountain system,12203.01758,6822.457886,85,1,1,3,1,2,0
201,2010402,201040202,0,312000,7,6,3,1000,2,NA,0,0,0,0,0,0,0,0,1463,14.75,26.94166667,20.81666667,1213,0,0,Luapula,Tropical moist deciduous forest,15533.56641,1406.028344,NA,1,1,3,1,1,0
202,2010402,201040201,0,321000,7,6,1,0,0,NA,NA,0,0,0,0,0,0,0,1463,14.75,26.94166667,20.81666667,1213,0,0,Luapula,Tropical moist deciduous forest,15533.56641,1406.028344,NA,1,1,3,1,1,0
203,2010403,201040301,17.7133988,110030,99,6,2,2200,2,2,3,9,1.956906756,0.83,7.077401043,5.882352941,0.786377894,0.653594771,1463,14.75,26.94166667,20.81666667,1213,0,0,Luapula,Tropical moist deciduous forest,15533.56641,1406.028344,255,0,8,5,3,2,0
204,2010403,201040302,0,312000,7,6,3,2800,2,NA,NA,0,0,0,0,0,0,0,1463,14.75,26.94166667,20.81666667,1213,0,0,Luapula,Tropical moist deciduous forest,15533.56641,1406.028344,255,0,8,5,3,2,0
205,2010404,201040402,0,321000,7,6,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1463,14.75,26.94166667,20.81666667,1213,0,0,Luapula,Tropical moist deciduous forest,15533.56641,1406.028344,95,1,1,2,0,1,0
206,2010404,201040401,95.80785987,110030,99,6,2,920,2,2,3,7,1.458411971,0.671201814,4.299126965,3.04137931,0.614160995,0.434482759,1463,14.75,26.94166667,20.81666667,1213,0,0,Luapula,Tropical moist deciduous forest,15533.56641,1406.028344,95,1,1,2,0,1,0
207,2010411,201041101,0,400010,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
208,2010412,201041201,0,400010,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
209,2010413,201041301,0,400010,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
210,2010414,201041401,0,400010,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
221,2010443,201044302,0,110030,99,6,1,4780,0,1,3,0,0,0,0,0,0,0,1221,13.875,26.075,19.95,1369,1,20,Northern,Tropical moist deciduous forest,28323.54297,14838.70395,285,1,1,4,1,2,0
223,2010451,201045102,0.139831588,324000,90,6,2,1560,2,1,NA,1,0,0,1,1,1,1,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,2,1,2,0,0,0
224,2010451,201045101,0,321000,90,6,2,1560,2,1,NA,0,0,0,0,0,0,0,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,2,1,2,0,0,0
225,2010452,201045202,0,321000,90,6,2,1360,2,1,0,0,0,0,0,0,0,0,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,2,1,2,0,0,0
226,2010452,201045203,2.187581676,324000,90,6,NA,NA,NA,1,0,2,0.500402424,0.32,1.649384888,1.470588235,0.824692444,0.735294118,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,2,1,2,0,0,0
227,2010452,201045201,10.61451421,324000,90,6,2,2040,2,1,0,7,1.831020481,0.814814815,6.240251469,5.4,0.891464496,0.771428571,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,2,1,2,0,0,0
228,2010453,201045302,0,321000,7,6,2,1300,2,1,3,0,0,0,0,0,0,0,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,3,1,2,0,2,0
229,2010453,201045301,14.43076898,324000,90,6,2,340,2,1,3,5,1.560710409,0.777777778,4.762203156,4.5,0.952440631,0.9,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,3,1,2,0,2,0
230,2010453,201045303,3.94131658,324000,90,6,2,4280,2,1,3,18,2.760940823,0.929292929,15.81471481,14.14285714,0.878595267,0.785714286,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,3,1,2,0,2,0
231,2010454,201045403,3.726996543,324000,90,6,NA,NA,NA,2,0,10,1.964328661,0.813609467,7.130124251,5.365079365,0.713012425,0.536507937,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,2,1,2,0,0,0
232,2010454,201045401,4.734615355,324000,90,6,NA,NA,NA,2,0,7,1.748067349,0.78,5.743491775,4.545454545,0.820498825,0.649350649,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,2,1,2,0,0,0
233,2010454,201045402,0,321000,90,6,2,1300,2,1,3,0,0,0,0,0,0,0,1126,13.59166667,25.50833333,19.51666667,1461,0,0,Northern,Tropical moist deciduous forest,7635.754395,16.83063422,1,2,1,2,0,0,0
239,2010483,201048302,0,324000,6,6,1,0,0,2,0,0,0,0,0,0,0,0,1434,12.66666667,26.88333333,19.75833333,1426,1,0,North-Western,Tropical moist deciduous forest,25771.56836,3322.652077,180,2,1,3,1,2,0
240,2010483,201048303,57.70250562,110030,6,6,1,0,0,3,5,16,2.59608818,0.913580247,13.41117319,11.57142857,0.838198324,0.723214286,1434,12.66666667,26.88333333,19.75833333,1426,1,0,North-Western,Tropical moist deciduous forest,25771.56836,3322.652077,180,2,1,3,1,2,0
241,2010483,201048301,108.0978454,110030,6,6,1,0,0,3,5,15,2.488966829,0.899063476,12.04882119,9.907216495,0.803254746,0.6604811,1434,12.66666667,26.88333333,19.75833333,1426,1,0,North-Western,Tropical moist deciduous forest,25771.56836,3322.652077,180,2,1,3,1,2,0
258,2010541,201054101,0,400010,NA,NA,NA,1000,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
259,2010542,201054201,0,400010,NA,NA,NA,5000,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
260,2010543,201054301,0,400010,NA,NA,NA,5000,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
261,2010544,201054401,0,400010,NA,NA,NA,1000,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
262,2010551,201055102,63.47313471,321000,99,1,2,1040,2,3,0,7,1.906154747,0.84375,6.727171322,6.4,0.961024475,0.914285714,1198,14.19166667,26.15833333,20.15833333,1301,1,NA,Northern,Tropical moist deciduous forest,15427.63281,2376.18002,210,1,1,3,0,1,0
263,2010551,201055103,0,110030,99,6,2,3120,2,1,4,0,0,0,0,0,0,0,1198,14.19166667,26.15833333,20.15833333,1301,1,NA,Northern,Tropical moist deciduous forest,15427.63281,2376.18002,210,1,1,3,0,1,0
264,2010552,201055203,0,110030,99,6,2,1800,2,1,4,0,0,0,0,0,0,0,1198,14.19166667,26.15833333,20.15833333,1301,1,NA,Northern,Tropical moist deciduous forest,15427.63281,2376.18002,261,1,1,3,0,1,0
265,2010552,201055202,4.503998406,321000,99,1,2,800,2,3,0,5,1.560710409,0.777777778,4.762203156,4.5,0.952440631,0.9,1198,14.19166667,26.15833333,20.15833333,1301,1,NA,Northern,Tropical moist deciduous forest,15427.63281,2376.18002,261,1,1,3,0,1,0
266,2010552,201055201,42.54875606,110030,99,6,2,2400,2,1,4,14,2.497346964,0.906666667,12.1502162,10.71428571,0.867872585,0.765306122,1198,14.19166667,26.15833333,20.15833333,1301,1,NA,Northern,Tropical moist deciduous forest,15427.63281,2376.18002,261,1,1,3,0,1,0
267,2010553,201055301,67.70213672,312000,99,6,1,1000,0,3,0,6,1.569152946,0.755102041,4.802578428,4.083333333,0.800429738,0.680555556,1198,14.19166667,26.15833333,20.15833333,1301,1,NA,Northern,Tropical moist deciduous forest,15427.63281,2376.18002,280,1,1,3,0,1,0
268,2010553,201055302,3.895441683,110030,99,6,2,4000,2,1,3,3,1.060856947,0.641975309,2.888845517,2.793103448,0.962948506,0.931034483,1198,14.19166667,26.15833333,20.15833333,1301,1,NA,Northern,Tropical moist deciduous forest,15427.63281,2376.18002,280,1,1,3,0,1,0
269,2010554,201055401,54.23437224,110030,99,6,3,2380,2,3,3,8,1.77649712,0.786666667,5.909121181,4.6875,0.738640148,0.5859375,1198,14.19166667,26.15833333,20.15833333,1301,1,NA,Northern,Tropical moist deciduous forest,15427.63281,2376.18002,NA,1,1,3,0,0,0
270,2010554,201055402,0,321000,90,1,2,2620,2,3,0,0,0,0,0,0,0,0,1198,14.19166667,26.15833333,20.15833333,1301,1,NA,Northern,Tropical moist deciduous forest,15427.63281,2376.18002,NA,1,1,3,0,0,0
277,2010574,201057403,17.74488687,324000,7,6,NA,NA,NA,NA,NA,8,1.846889123,0.806122449,6.34006565,5.157894737,0.792508206,0.644736842,1030,13.96666667,25.95833333,19.94166667,1353,1,0,Northern,Tropical moist deciduous forest,15340.03809,2888.696913,1,3,1,3,0,1,0
278,2010574,201057401,4.788970147,324000,90,6,NA,NA,NA,NA,0,8,1.951259504,0.840236686,7.037545819,6.259259259,0.879693227,0.782407407,1030,13.96666667,25.95833333,19.94166667,1353,1,0,Northern,Tropical moist deciduous forest,15340.03809,2888.696913,1,3,1,3,0,1,0
279,2010574,201057402,14.33196128,321000,90,6,2,3960,2,1,0,14,2.343387756,0.881557599,10.4164653,8.442922374,0.744033236,0.603065884,1030,13.96666667,25.95833333,19.94166667,1353,1,0,Northern,Tropical moist deciduous forest,15340.03809,2888.696913,1,3,1,3,0,1,0
284,2010591,201059101,27.16209204,321000,7,6,1,0,0,3,0,2,0.673011667,0.48,1.960131704,1.923076923,0.980065852,0.961538462,892,17.225,29.21666667,23.2,721,1,1041,Eastern,Tropical dry forest,18422.90625,178.269941,335,5,1,2,1,2,0
285,2010591,201059102,59.75262622,110020,90,6,2,2940,2,1,1,7,1.731535408,0.788927336,5.649321267,4.737704918,0.807045895,0.676814988,892,17.225,29.21666667,23.2,721,1,1041,Eastern,Tropical dry forest,18422.90625,178.269941,335,5,1,2,1,2,0
288,2010594,201059401,17.82728133,110020,90,6,2,2340,2,1,3,7,1.78680834,0.8125,5.970366644,5.333333333,0.852909521,0.761904762,892,17.225,29.21666667,23.2,721,1,1041,Eastern,Tropical dry forest,18422.90625,178.269941,40,5,1,5,2,1,0
289,2010594,201059402,9.533884121,312000,90,6,2,1000,2,2,1,4,1.255482325,0.6875,3.509530701,3.2,0.877382675,0.8,892,17.225,29.21666667,23.2,721,1,1041,Eastern,Tropical dry forest,18422.90625,178.269941,40,5,1,5,2,1,0
291,2010602,201060202,0,324000,6,6,1,1920,2,2,0,0,0,0,0,0,0,0,1398,11.81666667,27.04166667,19.425,1453,1,696,North-Western,Tropical moist deciduous forest,5124.520996,6665.136184,40,1,1,3,1,2,0
292,2010602,201060203,0,110010,6,6,1,900,0,2,5,0,0,0,0,0,0,0,1398,11.81666667,27.04166667,19.425,1453,1,696,North-Western,Tropical moist deciduous forest,5124.520996,6665.136184,40,1,1,3,1,2,0
293,2010602,201060201,128.9938817,110010,6,6,1,1580,0,3,5,15,2.18886449,0.8304,8.925072853,5.896226415,0.595004857,0.393081761,1398,11.81666667,27.04166667,19.425,1453,1,696,North-Western,Tropical moist deciduous forest,5124.520996,6665.136184,40,1,1,3,1,2,0
294,2010602,201060204,0,324000,6,6,3,600,2,2,0,0,0,0,0,0,0,0,1398,11.81666667,27.04166667,19.425,1453,1,696,North-Western,Tropical moist deciduous forest,5124.520996,6665.136184,40,1,1,3,1,2,0
295,2010603,201060301,0,321000,6,6,3,4520,2,2,0,0,0,0,0,0,0,0,1398,11.81666667,27.04166667,19.425,1453,1,696,North-Western,Tropical moist deciduous forest,5124.520996,6665.136184,80,1,1,3,0,2,0
296,2010603,201060302,41.90444984,110010,6,6,1,480,0,3,5,6,1.676987774,0.790123457,5.349418023,4.764705882,0.891569671,0.794117647,1398,11.81666667,27.04166667,19.425,1453,1,696,North-Western,Tropical moist deciduous forest,5124.520996,6665.136184,80,1,1,3,0,2,0
297,2010604,201060402,61.21362963,110010,6,6,1,0,0,3,5,16,2.306136955,0.8696875,10.03558177,7.673860911,0.627223861,0.479616307,1398,11.81666667,27.04166667,19.425,1453,1,696,North-Western,Tropical moist deciduous forest,5124.520996,6665.136184,90,1,1,3,1,2,0
298,2010604,201060401,0,324000,6,6,1,0,0,2,0,0,0,0,0,0,0,0,1398,11.81666667,27.04166667,19.425,1453,1,696,North-Western,Tropical moist deciduous forest,5124.520996,6665.136184,90,1,1,3,1,2,0
303,2010624,201062402,15.36273991,110030,90,6,2,4500,2,3,0,6,1.485199726,0.718792867,4.415847284,3.556097561,0.735974547,0.592682927,1320,12.49166667,27,19.725,1386,1,610,North-Western,Tropical moist deciduous forest,15439.8252,13803.44432,270,1,3,7,1,0,0
304,2010624,201062401,0,311000,90,6,2,100,2,3,0,0,0,0,0,0,0,0,1320,12.49166667,27,19.725,1386,1,610,North-Western,Tropical moist deciduous forest,15439.8252,13803.44432,270,1,3,7,1,0,0
305,2010631,201063101,0,400010,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1271,12.63333333,27.21666667,19.90833333,1328,1,1745,North-Western,Tropical moist deciduous forest,14203.4873,6618.380718,NA,NA,NA,NA,NA,NA,0
306,2010632,201063201,0,400010,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1271,12.63333333,27.21666667,19.90833333,1328,1,1745,North-Western,Tropical moist deciduous forest,14203.4873,6618.380718,NA,NA,NA,NA,NA,NA,0
307,2010633,201063301,0,400010,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1271,12.63333333,27.21666667,19.90833333,1328,1,1745,North-Western,Tropical moist deciduous forest,14203.4873,6618.380718,NA,NA,NA,NA,NA,NA,0
308,2010641,201064102,9.987518879,110030,6,6,2,NA,2,3,3,4,1.386294361,0.75,4,4,1,1,1302,11.84166667,26.50833333,19.14166667,1437,0,0,North-Western,Tropical moist deciduous forest,26626.12891,26826.05932,180,2,4,3,1,2,0
310,2010643,201064301,0,312000,6,6,1,0,0,NA,0,0,0,0,0,0,0,0,1302,11.84166667,26.50833333,19.14166667,1437,0,0,North-Western,Tropical moist deciduous forest,26626.12891,26826.05932,260,3,4,3,2,3,0
311,2010644,201064401,0,313000,90,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1302,11.84166667,26.50833333,19.14166667,1437,0,0,North-Western,Tropical moist deciduous forest,26626.12891,26826.05932,75,2,4,3,2,3,0
316,2010661,201066102,0,321000,90,6,2,330,2,2,0,0,0,0,0,0,0,0,1282,12.09166667,26.85,19.44166667,1351,1,38,North-Western,Tropical moist deciduous forest,13133.55176,7129.675648,72,3,1,5,3,2,0
317,2010661,201066103,0,110030,90,6,2,2730,2,2,3,0,0,0,0,0,0,0,1282,12.09166667,26.85,19.44166667,1351,1,38,North-Western,Tropical moist deciduous forest,13133.55176,7129.675648,72,3,1,5,3,2,0
318,2010661,201066101,125.5249802,110030,90,6,2,1940,2,2,3,12,1.895737956,0.789604842,6.657459505,4.752961083,0.554788292,0.39608009,1282,12.09166667,26.85,19.44166667,1351,1,38,North-Western,Tropical moist deciduous forest,13133.55176,7129.675648,72,3,1,5,3,2,0
319,2010662,201066202,0,312000,90,6,2,1660,2,3,0,0,0,0,0,0,0,0,1282,12.09166667,26.85,19.44166667,1351,1,38,North-Western,Tropical moist deciduous forest,13133.55176,7129.675648,90,4,1,5,3,1,0
320,2010662,201066201,60.39107132,110030,90,6,2,3340,2,2,3,13,2.352759126,0.888888889,10.51454068,9,0.808810822,0.692307692,1282,12.09166667,26.85,19.44166667,1351,1,38,North-Western,Tropical moist deciduous forest,13133.55176,7129.675648,90,4,1,5,3,1,0
321,2010663,201066301,18.99754959,110030,90,6,2,3300,2,2,3,9,2.062069541,0.858024691,7.862224183,7.043478261,0.873580465,0.782608696,1282,12.09166667,26.85,19.44166667,1351,1,38,North-Western,Tropical moist deciduous forest,13133.55176,7129.675648,270,1,1,5,2,1,0
322,2010663,201066302,9.903019032,323000,6,6,2,1700,2,NA,0,2,0.562335145,0.375,1.754765351,1.6,0.877382675,0.8,1282,12.09166667,26.85,19.44166667,1351,1,38,North-Western,Tropical moist deciduous forest,13133.55176,7129.675648,270,1,1,5,2,1,0
328,2010681,201068101,53.93288449,110030,99,1,3,2740,2,1,2,11,2.243618514,0.879818594,9.427382756,8.320754717,0.857034796,0.756432247,1292,14.025,26.81666667,20.4,1208,1,189,Luapula,Tropical moist deciduous forest,18606.27344,3251.641798,NA,1,1,3,1,2,0
329,2010681,201068102,0,321000,99,1,1,0,0,NA,0,0,0,0,0,0,0,0,1292,14.025,26.81666667,20.4,1208,1,189,Luapula,Tropical moist deciduous forest,18606.27344,3251.641798,NA,1,1,3,1,2,0
330,2010682,201068203,0,110030,99,1,1,0,0,1,2,0,0,0,0,0,0,0,1292,14.025,26.81666667,20.4,1208,1,189,Luapula,Tropical moist deciduous forest,18606.27344,3251.641798,NA,1,1,3,1,2,0
331,2010682,201068202,0,321000,99,90,1,0,0,NA,0,0,0,0,0,0,0,0,1292,14.025,26.81666667,20.4,1208,1,189,Luapula,Tropical moist deciduous forest,18606.27344,3251.641798,NA,1,1,3,1,2,0
332,2010682,201068201,49.73687592,110030,99,1,3,3854,2,1,2,11,2.260383443,0.880165289,9.586764437,8.344827586,0.87152404,0.75862069,1292,14.025,26.81666667,20.4,1208,1,189,Luapula,Tropical moist deciduous forest,18606.27344,3251.641798,NA,1,1,3,1,2,0
334,2010684,201068401,17.39698861,321000,99,1,1,0,0,NA,0,4,1.265856752,0.698224852,3.546129588,3.31372549,0.886532397,0.828431373,1292,14.025,26.81666667,20.4,1208,1,189,Luapula,Tropical moist deciduous forest,18606.27344,3251.641798,NA,1,1,3,1,1,0
335,2010691,201069101,0,400010,6,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
336,2010692,201069201,0,400010,6,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
337,2010693,201069301,0,400010,6,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
338,2010694,201069401,0,400010,6,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
