,ID.PLOT,ID.LUS,BIO4,X80.LandUse,X82.Designation,X83.LandTenure,X85.FireOccurrence,X86c.FireAreaM2,X87.FireType,X88.ExpectedFutureTrees,X92.TreeCanopyCoverage,N0,H,Simp,N1,N2,E1,E2,tprec,a.tmin,a.tmax,a.tmean,alt,Pop.pa,HHpop,Province,GEZ,pop.d,S.DistToRoad,Expo,Slope,RELIEF,TEXTURE,DRAINAGE,SOM,FOREST
636,2011352,201135201,42.54431534,110020,1,6,2,5000,2,1,4,11,1.884986201,0.783737024,6.586263558,4.624,0.598751233,0.420363636,1001,14.025,30.15833333,22.06666667,1065,0,0,Western,Tropical moist deciduous forest,3440.109619,9821.319711,36,1,1,1,0,0,1
637,2011353,201135301,31.09086783,110020,7,6,1,0,0,3,2,12,2.172995599,0.858024691,8.784559684,7.043478261,0.73204664,0.586956522,1001,14.025,30.15833333,22.06666667,1065,0,0,Western,Tropical moist deciduous forest,3440.109619,9821.319711,180,1,1,3,0,0,1
640,2011361,201136101,55.89288489,110030,7,6,2,5000,2,1,3,9,1.785850042,0.767982693,5.964647994,4.31002331,0.662738666,0.478891479,1018,13.375,28.85,21.09166667,1155,1,132,Western,Tropical moist deciduous forest,47462.58984,34134.53342,135,1,1,2,0,1,1
641,2011362,201136201,39.04450298,110030,7,6,2,5000,2,1,2,11,2.041996018,0.838568298,7.705975124,6.194570136,0.700543193,0.56314274,1018,13.375,28.85,21.09166667,1155,1,132,Western,Tropical moist deciduous forest,47462.58984,34134.53342,1,1,1,2,0,0,1
642,2011363,201136301,72.83228891,110030,7,6,2,5000,2,1,3,8,1.677623811,0.761481481,5.35282153,4.192546584,0.669102691,0.524068323,1018,13.375,28.85,21.09166667,1155,1,132,Western,Tropical moist deciduous forest,47462.58984,34134.53342,290,1,1,3,0,1,1
643,2011364,201136401,16.30434139,110020,7,6,2,5000,2,1,3,5,1.28687263,0.648888889,3.621443236,2.848101266,0.724288647,0.569620253,1018,13.375,28.85,21.09166667,1155,1,132,Western,Tropical moist deciduous forest,47462.58984,34134.53342,270,1,1,2,0,0,1
647,2011373,201137301,0,110030,99,6,2,5000,2,1,1,0,0,0,0,0,0,0,1019,13.325,28.55833333,20.90833333,1131,1,5,North-Western,Tropical moist deciduous forest,27370.66406,14259.98329,280,1,1,3,1,1,1
648,2011374,201137401,40.36674925,110030,99,6,2,5000,2,1,1,12,1.844341465,0.774673008,6.323933885,4.437994723,0.52699449,0.369832894,1019,13.325,28.55833333,20.90833333,1131,1,5,North-Western,Tropical moist deciduous forest,27370.66406,14259.98329,293,2,1,2,1,1,1
649,2011381,201138101,34.15993637,110030,4,4,1,5000,0,1,4,12,2.012557694,0.807309863,7.482430666,5.189679219,0.623535889,0.432473268,1040,13.01666667,28.03333333,20.49166667,1161,1,66,North-Western,Tropical moist deciduous forest,17198.76758,6410.619411,191,1,1,3,1,0,1
650,2011382,201138201,41.62094031,110030,4,4,1,5000,0,1,4,16,2.108338654,0.799048751,8.234549481,4.976331361,0.514659343,0.31102071,1040,13.01666667,28.03333333,20.49166667,1161,1,66,North-Western,Tropical moist deciduous forest,17198.76758,6410.619411,185,1,1,3,1,1,1
651,2011383,201138301,65.19292767,110030,4,4,1,5000,0,1,4,14,2.151787948,0.844088889,8.600221411,6.41391106,0.614301529,0.458136504,1040,13.01666667,28.03333333,20.49166667,1161,1,66,North-Western,Tropical moist deciduous forest,17198.76758,6410.619411,180,1,1,3,1,0,1
652,2011384,201138401,66.29806789,110030,4,4,1,50,0,1,4,23,2.721932042,0.905124654,15.20967962,10.54014599,0.661290418,0.458267217,1040,13.01666667,28.03333333,20.49166667,1161,1,66,North-Western,Tropical moist deciduous forest,17198.76758,6410.619411,215,1,1,3,1,0,1
653,2011391,201139101,56.89151675,110030,1,4,2,5000,2,1,0,17,2.008023065,0.755095332,7.448577426,4.083221477,0.438151613,0.240189499,1050,12.98333333,27.725,20.325,1187,1,11,North-Western,Tropical moist deciduous forest,16093.86523,14470.43273,70,2,2,3,1,1,1
654,2011392,201139201,41.15635163,110030,1,4,1,5000,0,1,5,12,1.462860118,0.581111111,4.318292709,2.387267905,0.359857726,0.198938992,1050,12.98333333,27.725,20.325,1187,1,11,North-Western,Tropical moist deciduous forest,16093.86523,14470.43273,92,1,1,3,1,0,1
655,2011393,201139301,43.88480828,110030,1,4,1,5000,0,1,5,10,1.378838312,0.57129923,3.970286714,2.332629356,0.397028671,0.233262936,1050,12.98333333,27.725,20.325,1187,1,11,North-Western,Tropical moist deciduous forest,16093.86523,14470.43273,80,1,1,3,1,1,1
656,2011394,201139401,44.21113063,110030,1,4,2,5000,2,1,5,11,1.70479702,0.699791883,5.500269108,3.33102253,0.500024464,0.30282023,1050,12.98333333,27.725,20.325,1187,1,11,North-Western,Tropical moist deciduous forest,16093.86523,14470.43273,60,1,1,3,1,1,1
657,2011401,201140101,70.27314995,110030,6,6,2,5000,2,3,3,16,2.469952542,0.896701389,11.82188579,9.680672269,0.738867862,0.605042017,1033,13.25833333,27.65,20.425,1183,0,0,North-Western,Tropical moist deciduous forest,20545.89648,5897.551474,0,4,3,5,1,0,1
658,2011402,201140201,68.65564377,110030,6,6,2,5000,2,3,3,9,1.509916747,0.710798817,4.526353946,3.457800512,0.502928216,0.384200057,1033,13.25833333,27.65,20.425,1183,0,0,North-Western,Tropical moist deciduous forest,20545.89648,5897.551474,180,3,1,5,1,1,1
659,2011403,201140301,69.46401821,110030,6,6,2,5000,2,3,3,4,0.852853093,0.50887574,2.346331613,2.036144578,0.586582903,0.509036145,1033,13.25833333,27.65,20.425,1183,0,0,North-Western,Tropical moist deciduous forest,20545.89648,5897.551474,180,4,1,5,1,1,1
660,2011404,201140401,137.2544256,110030,6,6,2,5000,2,3,3,12,2.058872553,0.822857143,7.837128882,5.64516129,0.653094073,0.470430108,1033,13.25833333,27.65,20.425,1183,0,0,North-Western,Tropical moist deciduous forest,20545.89648,5897.551474,360,2,1,4,0,2,1
